,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,17.798320007324218,5.865660833978822,2.4102592945098875,0.9766402706110474,0.0001,0.001,"{'gamma': 0.0001, 'C': 0.001}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
60,20.08692648410797,4.743770547497993,2.59772789478302,0.6604964553724236,0.05,0.005,"{'gamma': 0.05, 'C': 0.005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
38,23.154957675933836,1.8719404413480962,2.925901484489441,0.3890892319238778,0.01,0.1,"{'gamma': 0.01, 'C': 0.1}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
40,16.10031440258026,6.199280189403244,2.1083220720291136,0.9160014754589261,0.01,0.0005,"{'gamma': 0.01, 'C': 0.0005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
42,21.20817897319794,3.9524455774190734,2.447779107093811,0.8840956269224447,0.005,0.005,"{'gamma': 0.005, 'C': 0.005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
43,15.033874940872192,6.231383723388887,2.3841678380966185,0.8537961671636575,0.3,0.05,"{'gamma': 0.3, 'C': 0.05}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
44,18.22081000804901,3.3333409174875293,2.1002114534378054,0.5280012725389902,0.2,0.0001,"{'gamma': 0.2, 'C': 0.0001}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
46,17.10442771911621,5.157812144319554,2.4076189279556273,0.8722419660368688,0.005,0.001,"{'gamma': 0.005, 'C': 0.001}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
47,21.01303174495697,2.6059072342317764,2.4686567068099974,1.0478189894610892,0.001,0.005,"{'gamma': 0.001, 'C': 0.005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
48,14.31532335281372,5.399146997059078,1.961817741394043,0.6486946269609268,0.0001,0.0001,"{'gamma': 0.0001, 'C': 0.0001}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
