,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,24.069257855415344,3.2346168540304667,2.780748653411865,0.790023261718297,0.0001,0.0001,rbf,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
1,21.8817134141922,4.231519382532814,1.9970575332641602,0.5681683188336407,0.0001,0.0001,sigmoid,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
2,13.118169522285461,3.266437894002867,0.0,0.0,0.0001,0.0001,poly,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}",,,,,,,,,,,,,243
3,22.79613435268402,4.269852761816161,2.795074486732483,0.893808575767889,0.0001,0.001,rbf,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
4,23.445724225044252,3.2117612681814687,1.928866410255432,0.28798350226296576,0.0001,0.001,sigmoid,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
5,4.735871410369873,1.0875650830351007,0.0,0.0,0.0001,0.001,poly,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}",,,,,,,,,,,,,243
6,23.686833333969116,3.4738482725498847,2.8700811862945557,0.6495080234202641,0.0001,0.01,rbf,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
7,22.109218525886536,4.421908787484514,2.0780001640319825,0.2704291395751254,0.0001,0.01,sigmoid,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
8,1.174125361442566,0.5657070749791525,0.0,0.0,0.0001,0.01,poly,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}",,,,,,,,,,,,,243
9,20.349763989448547,4.124576812375679,2.5504060983657837,1.0261826525926465,0.0001,0.03,rbf,"{'C': 0.0001, 'gamma': 0.03, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
10,21.433523988723756,3.5310138105152764,1.963717484474182,0.6878190889723678,0.0001,0.03,sigmoid,"{'C': 0.0001, 'gamma': 0.03, 'kernel': 'sigmoid'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
11,0.9495466232299805,0.30597446505860515,0.0,0.0,0.0001,0.03,poly,"{'C': 0.0001, 'gamma': 0.03, 'kernel': 'poly'}",,,,,,,,,,,,,243
12,20.895381879806518,2.484844670332501,2.47319176197052,0.6067846287649411,0.0001,0.1,rbf,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
13,21.21593573093414,2.7990806468024605,1.3605281829833984,0.8506193996527889,0.0001,0.1,sigmoid,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
14,1.0322585344314574,0.2772695233267165,0.0,0.0,0.0001,0.1,poly,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}",,,,,,,,,,,,,243
15,20.09725248813629,5.0949075088607145,2.4838631391525268,0.9123503611324645,0.0001,0.3,rbf,"{'C': 0.0001, 'gamma': 0.3, 'kernel': 'rbf'}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,57
