,CVE,flag_CR
717,CVE-2023-1237,0
718,CVE-2021-26277,1
719,CVE-2022-41554,0
720,CVE-2022-43927,0
721,CVE-2022-27490,0
722,CVE-2022-41076,0
723,CVE-2023-28116,1
724,CVE-2023-28117,0
725,CVE-2023-28154,1
726,CVE-2020-21120,1
727,CVE-2022-43923,0
728,CVE-2015-10091,0
729,CVE-2023-27484,0
730,CVE-2022-47431,0
731,CVE-2022-47154,0
732,CVE-2021-3172,0
733,CVE-2023-1243,0
734,CVE-2023-1059,0
735,CVE-2023-1179,0
736,CVE-2023-1351,1
737,CVE-2023-1353,0
738,CVE-2023-24347,0
739,CVE-2023-1117,0
740,CVE-2023-1532,0
741,CVE-2023-1529,1
742,CVE-2023-1048,0
743,CVE-2023-1168,0
744,CVE-2023-25689,0
745,CVE-2023-24575,0
746,CVE-2023-1023,0
747,CVE-2023-1439,1
748,CVE-2023-21689,1
749,CVE-2023-1053,1
750,CVE-2023-24221,1
751,CVE-2023-25692,0
752,CVE-2023-24657,0
753,CVE-2023-22336,1
754,CVE-2023-24220,1
755,CVE-2022-2024,1
756,CVE-2023-1562,0
757,CVE-2023-1319,0
758,CVE-2023-0568,0
759,CVE-2023-1506,1
760,CVE-2023-1251,1
761,CVE-2023-1242,0
762,CVE-2023-1612,1
763,CVE-2023-1455,1
764,CVE-2023-24780,1
765,CVE-2023-1479,1
766,CVE-2023-1460,1
767,CVE-2023-0913,0
768,CVE-2023-1445,0
769,CVE-2022-2504,1
770,CVE-2023-1497,1
771,CVE-2023-24192,0
772,CVE-2023-1026,0
773,CVE-2023-1041,0
774,CVE-2023-1160,0
775,CVE-2023-22832,0
776,CVE-2023-22883,0
777,CVE-2023-25361,1
778,CVE-2023-23915,0
779,CVE-2023-25657,1
780,CVE-2023-1252,0
781,CVE-2023-24349,1
782,CVE-2023-1515,0
783,CVE-2023-20011,0
784,CVE-2023-1447,0
785,CVE-2023-1054,1
786,CVE-2023-25573,0
787,CVE-2023-1364,0
788,CVE-2023-1043,0
789,CVE-2023-24655,1
790,CVE-2023-1044,0
791,CVE-2023-0902,0
792,CVE-2023-1362,0
793,CVE-2023-1461,1
794,CVE-2023-1440,0
795,CVE-2023-1062,0
796,CVE-2023-1038,1
797,CVE-2023-24200,1
798,CVE-2023-1308,1
799,CVE-2023-24625,0
800,CVE-2022-48425,0
801,CVE-2023-1036,0
802,CVE-2023-1027,0
803,CVE-2021-33224,1
804,CVE-2023-28100,1
805,CVE-2023-25823,1
806,CVE-2023-28083,0
807,CVE-2020-19824,0
808,CVE-2023-25968,0
809,CVE-2023-0742,1
810,CVE-2023-25814,0
811,CVE-2023-0590,0
812,CVE-2022-4289,0
813,CVE-2023-0912,0
814,CVE-2022-42948,1
815,CVE-2023-27578,0
816,CVE-2023-1361,0
817,CVE-2023-27570,1
818,CVE-2023-0002,0
819,CVE-2020-12413,0
820,CVE-2023-27500,0
821,CVE-2022-4927,0
822,CVE-2023-24198,1
823,CVE-2023-1306,0
824,CVE-2023-24202,1
825,CVE-2023-21822,0
826,CVE-2023-24320,1
827,CVE-2023-25616,0
828,CVE-2023-24580,0
