,CVE,num_of_author,baseSeverity,baseScore
576,CVE-2023-0784,13,CRITICAL,9.8
577,CVE-2023-26105,13,HIGH,7.5
578,CVE-2023-0774,13,CRITICAL,9.8
579,CVE-2023-0819,13,HIGH,7.8
580,CVE-2023-27638,13,CRITICAL,9.8
581,CVE-2023-0934,13,MEDIUM,5.4
582,CVE-2023-25557,13,CRITICAL,9.1
583,CVE-2023-26113,13,HIGH,7.5
584,CVE-2023-0127,13,HIGH,7.8
585,CVE-2023-1594,13,CRITICAL,9.8
586,CVE-2023-25828,13,HIGH,7.2
587,CVE-2023-23695,13,MEDIUM,5.9
588,CVE-2022-34414,13,MEDIUM,6.7
589,CVE-2023-0777,13,CRITICAL,9.8
590,CVE-2023-26606,13,HIGH,7.8
591,CVE-2008-10002,13,MEDIUM,6.1
592,CVE-2023-25695,13,MEDIUM,5.3
593,CVE-2023-0785,13,MEDIUM,5.3
594,CVE-2023-28609,13,CRITICAL,9.8
595,CVE-2023-1010,13,MEDIUM,5.5
596,CVE-2023-23009,13,MEDIUM,6.5
597,CVE-2022-34413,13,MEDIUM,6.7
598,CVE-2023-1072,13,MEDIUM,5.3
599,CVE-2023-1359,13,MEDIUM,4.8
600,CVE-2021-33391,13,CRITICAL,9.8
601,CVE-2023-1355,13,MEDIUM,5.5
602,CVE-2021-31637,13,HIGH,7.8
603,CVE-2023-1354,13,MEDIUM,6.1
604,CVE-2023-1494,13,CRITICAL,9.8
605,CVE-2023-27978,13,HIGH,7.8
606,CVE-2023-1542,13,MEDIUM,5.4
607,CVE-2022-32474,13,HIGH,7.0
608,CVE-2021-33926,13,HIGH,8.8
609,CVE-2023-27034,13,CRITICAL,9.8
610,CVE-2023-24201,13,CRITICAL,9.8
611,CVE-2022-4462,13,MEDIUM,4.3
612,CVE-2022-41831,13,MEDIUM,5.4
613,CVE-2023-1366,13,HIGH,7.2
614,CVE-2021-32846,13,HIGH,7.8
615,CVE-2023-24206,13,CRITICAL,9.8
616,CVE-2021-31985,13,HIGH,8.8
617,CVE-2021-20251,13,MEDIUM,5.9
618,CVE-2021-31576,13,HIGH,7.5
619,CVE-2023-1352,13,CRITICAL,9.8
620,CVE-2022-41785,13,MEDIUM,5.4
621,CVE-2022-39983,13,CRITICAL,9.8
622,CVE-2023-24348,13,CRITICAL,9.8
623,CVE-2022-25905,13,HIGH,7.3
624,CVE-2023-28152,13,CRITICAL,9.8
625,CVE-2023-22335,13,HIGH,7.5
626,CVE-2021-33949,13,CRITICAL,9.8
627,CVE-2021-33948,13,CRITICAL,9.8
628,CVE-2021-45479,13,MEDIUM,5.4
629,CVE-2023-1307,13,CRITICAL,9.8
630,CVE-2023-1313,13,HIGH,8.8
631,CVE-2023-1309,13,CRITICAL,9.8
632,CVE-2023-1311,13,CRITICAL,9.8
633,CVE-2023-27981,13,HIGH,8.8
634,CVE-2023-1316,13,MEDIUM,5.4
635,CVE-2022-0609,13,HIGH,8.8
636,CVE-2021-4331,13,HIGH,8.8
637,CVE-2022-25738,13,HIGH,7.5
638,CVE-2023-1318,13,MEDIUM,5.4
639,CVE-2023-27982,13,HIGH,8.8
640,CVE-2023-1349,13,MEDIUM,6.1
641,CVE-2023-24731,13,HIGH,8.8
642,CVE-2023-1358,13,CRITICAL,9.8
643,CVE-2021-4332,13,MEDIUM,6.5
644,CVE-2023-24732,13,HIGH,8.8
645,CVE-2020-36660,13,MEDIUM,4.3
646,CVE-2023-1540,13,MEDIUM,5.3
647,CVE-2023-1250,13,HIGH,7.8
648,CVE-2023-1245,13,MEDIUM,5.4
649,CVE-2022-25728,13,HIGH,7.5
650,CVE-2023-20947,13,HIGH,7.8
651,CVE-2023-1490,13,MEDIUM,5.5
652,CVE-2023-24762,13,CRITICAL,9.8
653,CVE-2023-1480,13,CRITICAL,9.8
654,CVE-2023-1505,13,CRITICAL,9.8
655,CVE-2023-27202,13,CRITICAL,9.8
656,CVE-2015-10088,13,CRITICAL,9.8
657,CVE-2023-25153,13,MEDIUM,5.5
658,CVE-2023-24351,13,CRITICAL,9.8
659,CVE-2022-3089,13,CRITICAL,9.8
660,CVE-2023-1287,13,CRITICAL,9.8
661,CVE-2023-22344,13,CRITICAL,9.8
662,CVE-2022-40032,13,CRITICAL,9.8
663,CVE-2015-10079,13,MEDIUM,6.1
664,CVE-2023-1541,13,LOW,3.8
665,CVE-2020-21119,13,CRITICAL,9.8
666,CVE-2022-25732,13,HIGH,7.5
667,CVE-2022-48322,13,CRITICAL,9.8
668,CVE-2023-1269,13,CRITICAL,9.8
669,CVE-2022-47664,13,HIGH,7.8
670,CVE-2023-1539,13,MEDIUM,5.3
671,CVE-2023-26905,13,CRITICAL,9.8
672,CVE-2023-1538,13,MEDIUM,5.3
673,CVE-2023-1270,13,MEDIUM,5.4
674,CVE-2023-1593,13,MEDIUM,6.1
675,CVE-2023-22438,13,MEDIUM,5.4
676,CVE-2023-1264,13,MEDIUM,5.5
677,CVE-2023-1080,13,MEDIUM,6.1
678,CVE-2023-20009,13,HIGH,7.2
679,CVE-2023-1239,13,MEDIUM,4.8
680,CVE-2022-32470,13,HIGH,7.0
681,CVE-2023-1537,13,CRITICAL,9.8
682,CVE-2023-25758,13,MEDIUM,4.2
683,CVE-2021-20038,13,CRITICAL,9.8
684,CVE-2023-1238,13,MEDIUM,5.4
685,CVE-2023-1536,13,MEDIUM,5.4
686,CVE-2020-1472,13,CRITICAL,10.0
687,CVE-2023-0741,12,CRITICAL,9.0
688,CVE-2023-24774,12,CRITICAL,9.8
689,CVE-2023-22629,12,HIGH,8.8
690,CVE-2023-1590,12,CRITICAL,9.8
691,CVE-2023-1481,12,MEDIUM,6.1
692,CVE-2023-1441,12,CRITICAL,9.8
693,CVE-2021-32142,12,HIGH,7.8
694,CVE-2023-1154,12,MEDIUM,6.1
695,CVE-2023-1444,12,MEDIUM,6.5
696,CVE-2023-1045,12,HIGH,8.1
697,CVE-2023-1047,12,HIGH,7.8
698,CVE-2023-0888,12,HIGH,7.2
699,CVE-2023-23697,12,LOW,3.3
700,CVE-2023-24729,12,HIGH,8.8
701,CVE-2023-1042,12,MEDIUM,6.1
702,CVE-2023-1446,12,MEDIUM,5.5
703,CVE-2023-1503,12,CRITICAL,9.8
704,CVE-2023-27855,12,CRITICAL,9.8
705,CVE-2023-1130,12,CRITICAL,9.8
706,CVE-2023-25156,12,CRITICAL,9.8
707,CVE-2023-24787,12,HIGH,8.8
708,CVE-2023-0945,12,MEDIUM,5.4
709,CVE-2023-1591,12,CRITICAL,9.8
710,CVE-2023-1197,12,MEDIUM,4.8
711,CVE-2023-1057,12,HIGH,8.8
712,CVE-2023-1504,12,CRITICAL,9.8
713,CVE-2023-1056,12,HIGH,8.8
714,CVE-2023-0699,12,HIGH,8.8
715,CVE-2023-24199,12,CRITICAL,9.8
716,CVE-2023-1058,12,HIGH,8.8
717,CVE-2023-1237,12,MEDIUM,5.4
718,CVE-2021-26277,12,CRITICAL,9.8
719,CVE-2022-41554,12,MEDIUM,5.4
720,CVE-2022-43927,12,HIGH,7.5
721,CVE-2022-27490,12,MEDIUM,6.5
722,CVE-2022-41076,12,HIGH,8.5
723,CVE-2023-28116,12,CRITICAL,9.8
724,CVE-2023-28117,12,MEDIUM,6.5
725,CVE-2023-28154,12,CRITICAL,9.8
726,CVE-2020-21120,12,CRITICAL,9.8
727,CVE-2022-43923,12,MEDIUM,5.5
728,CVE-2015-10091,12,HIGH,7.2
729,CVE-2023-27484,12,MEDIUM,4.9
730,CVE-2022-47431,12,MEDIUM,6.1
731,CVE-2022-47154,12,HIGH,8.8
732,CVE-2021-3172,12,HIGH,8.1
733,CVE-2023-1243,12,MEDIUM,4.8
734,CVE-2023-1059,12,HIGH,8.8
735,CVE-2023-1179,12,MEDIUM,5.4
736,CVE-2023-1351,12,CRITICAL,9.8
737,CVE-2023-1353,12,MEDIUM,6.1
738,CVE-2023-24347,12,HIGH,8.8
739,CVE-2023-1117,12,MEDIUM,5.4
740,CVE-2023-1532,12,HIGH,8.8
741,CVE-2023-1529,12,CRITICAL,9.8
742,CVE-2023-1048,12,HIGH,7.8
743,CVE-2023-1168,12,HIGH,8.8
744,CVE-2023-25689,12,MEDIUM,5.3
745,CVE-2023-24575,12,HIGH,7.8
746,CVE-2023-1023,12,MEDIUM,4.3
747,CVE-2023-1439,12,CRITICAL,9.8
748,CVE-2023-21689,12,CRITICAL,9.8
749,CVE-2023-1053,12,CRITICAL,9.8
750,CVE-2023-24221,12,CRITICAL,9.8
751,CVE-2023-25692,12,HIGH,7.5
752,CVE-2023-24657,12,MEDIUM,6.1
753,CVE-2023-22336,12,CRITICAL,9.8
754,CVE-2023-24220,12,CRITICAL,9.8
755,CVE-2022-2024,12,CRITICAL,9.8
756,CVE-2023-1562,12,MEDIUM,4.3
757,CVE-2023-1319,12,MEDIUM,4.8
758,CVE-2023-0568,12,HIGH,8.1
759,CVE-2023-1506,12,CRITICAL,9.8
760,CVE-2023-1251,12,CRITICAL,9.8
761,CVE-2023-1242,12,MEDIUM,5.4
762,CVE-2023-1612,12,CRITICAL,9.8
763,CVE-2023-1455,12,CRITICAL,9.8
764,CVE-2023-24780,12,CRITICAL,9.8
765,CVE-2023-1479,12,CRITICAL,9.8
766,CVE-2023-1460,12,CRITICAL,9.8
767,CVE-2023-0913,12,HIGH,8.8
768,CVE-2023-1445,12,MEDIUM,5.5
769,CVE-2022-2504,12,CRITICAL,9.8
770,CVE-2023-1497,12,CRITICAL,9.8
771,CVE-2023-24192,12,MEDIUM,6.1
772,CVE-2023-1026,12,MEDIUM,4.3
773,CVE-2023-1041,12,MEDIUM,6.1
774,CVE-2023-1160,12,MEDIUM,5.5
775,CVE-2023-22832,12,HIGH,7.5
776,CVE-2023-22883,12,HIGH,7.8
777,CVE-2023-25361,12,CRITICAL,9.8
778,CVE-2023-23915,12,MEDIUM,6.5
779,CVE-2023-25657,12,CRITICAL,9.8
780,CVE-2023-1252,12,HIGH,7.8
781,CVE-2023-24349,12,CRITICAL,9.8
782,CVE-2023-1515,12,MEDIUM,5.4
783,CVE-2023-20011,12,HIGH,8.8
784,CVE-2023-1447,12,MEDIUM,6.1
785,CVE-2023-1054,12,CRITICAL,9.8
786,CVE-2023-25573,12,HIGH,7.5
787,CVE-2023-1364,12,HIGH,7.5
788,CVE-2023-1043,12,MEDIUM,4.3
789,CVE-2023-24655,12,CRITICAL,9.8
790,CVE-2023-1044,12,HIGH,8.8
791,CVE-2023-0902,12,MEDIUM,5.4
792,CVE-2023-1362,12,MEDIUM,6.1
793,CVE-2023-1461,12,CRITICAL,9.8
794,CVE-2023-1440,12,HIGH,8.8
795,CVE-2023-1062,12,HIGH,8.8
796,CVE-2023-1038,12,CRITICAL,9.8
797,CVE-2023-24200,12,CRITICAL,9.8
798,CVE-2023-1308,12,CRITICAL,9.8
799,CVE-2023-24625,12,MEDIUM,6.5
800,CVE-2022-48425,12,HIGH,7.8
801,CVE-2023-1036,12,MEDIUM,6.1
802,CVE-2023-1027,12,MEDIUM,4.3
803,CVE-2021-33224,12,CRITICAL,9.8
804,CVE-2023-28100,12,CRITICAL,10.0
805,CVE-2023-25823,12,CRITICAL,9.8
806,CVE-2023-28083,12,MEDIUM,5.4
807,CVE-2020-19824,12,HIGH,7.0
808,CVE-2023-25968,12,HIGH,8.8
809,CVE-2023-0742,12,CRITICAL,9.0
810,CVE-2023-25814,12,MEDIUM,6.5
811,CVE-2023-0590,12,MEDIUM,4.7
812,CVE-2022-4289,12,MEDIUM,4.3
813,CVE-2023-0912,12,HIGH,8.8
814,CVE-2022-42948,12,CRITICAL,9.8
815,CVE-2023-27578,12,HIGH,7.5
816,CVE-2023-1361,12,MEDIUM,6.5
817,CVE-2023-27570,12,CRITICAL,9.8
818,CVE-2023-0002,12,HIGH,7.8
819,CVE-2020-12413,12,MEDIUM,5.9
820,CVE-2023-27500,12,HIGH,8.1
821,CVE-2022-4927,12,MEDIUM,6.1
822,CVE-2023-24198,12,CRITICAL,9.8
823,CVE-2023-1306,12,HIGH,8.8
824,CVE-2023-24202,12,CRITICAL,9.8
825,CVE-2023-21822,12,HIGH,7.8
826,CVE-2023-24320,12,CRITICAL,9.8
827,CVE-2023-25616,12,HIGH,8.8
828,CVE-2023-24580,12,HIGH,7.5
829,CVE-2022-39299,12,HIGH,8.1
830,CVE-2023-27203,12,CRITICAL,9.8
831,CVE-2023-27580,12,MEDIUM,5.9
832,CVE-2020-2551,12,CRITICAL,9.8
833,CVE-2023-0906,12,CRITICAL,9.8
834,CVE-2023-0577,12,MEDIUM,6.1
835,CVE-2022-31706,12,CRITICAL,9.8
836,CVE-2023-0841,12,HIGH,8.8
837,CVE-2023-0780,12,MEDIUM,5.4
838,CVE-2022-34148,12,MEDIUM,4.8
839,CVE-2023-0781,12,CRITICAL,9.8
840,CVE-2023-28686,12,HIGH,7.1
841,CVE-2023-28466,12,HIGH,7.0
842,CVE-2023-25956,12,HIGH,7.5
843,CVE-2023-0586,12,MEDIUM,5.4
844,CVE-2023-0740,12,CRITICAL,9.0
845,CVE-2023-25795,12,MEDIUM,4.8
846,CVE-2022-39953,12,HIGH,7.8
847,CVE-2023-0722,12,MEDIUM,4.3
848,CVE-2020-19825,12,CRITICAL,9.6
849,CVE-2023-26208,12,MEDIUM,5.3
850,CVE-2022-48111,12,MEDIUM,6.1
851,CVE-2023-26081,12,HIGH,7.5
852,CVE-2023-27204,12,CRITICAL,9.8
853,CVE-2022-46752,12,MEDIUM,4.6
854,CVE-2023-26092,12,CRITICAL,9.8
855,CVE-2020-6817,12,HIGH,7.5
856,CVE-2022-46637,12,CRITICAL,9.8
857,CVE-2023-27100,12,CRITICAL,9.8
858,CVE-2023-26513,12,HIGH,7.5
859,CVE-2023-28606,12,MEDIUM,6.1
860,CVE-2023-27641,12,MEDIUM,6.1
861,CVE-2022-48424,12,HIGH,7.8
862,CVE-2023-1442,12,HIGH,7.2
863,CVE-2023-1492,12,MEDIUM,5.5
864,CVE-2023-0930,12,HIGH,8.8
865,CVE-2023-25362,12,CRITICAL,9.8
866,CVE-2023-1061,12,HIGH,8.8
867,CVE-2023-25696,12,CRITICAL,9.8
868,CVE-2021-45477,12,MEDIUM,6.5
869,CVE-2023-27253,12,HIGH,8.8
870,CVE-2023-25536,12,MEDIUM,6.7
871,CVE-2023-27242,12,MEDIUM,5.4
872,CVE-2023-21615,12,MEDIUM,5.4
873,CVE-2023-27213,12,CRITICAL,9.8
874,CVE-2023-0936,12,MEDIUM,6.5
875,CVE-2023-1248,12,MEDIUM,6.1
876,CVE-2023-1502,12,CRITICAL,9.8
877,CVE-2023-25709,12,HIGH,8.8
878,CVE-2023-24730,12,HIGH,8.8
879,CVE-2023-1489,12,HIGH,7.8
880,CVE-2022-41862,12,LOW,3.7
881,CVE-2023-0707,12,CRITICAL,9.8
882,CVE-2022-28495,12,CRITICAL,9.8
883,CVE-2022-28497,12,CRITICAL,9.8
884,CVE-2023-1443,12,HIGH,7.5
885,CVE-2022-48362,12,HIGH,8.8
886,CVE-2023-25708,12,HIGH,8.8
887,CVE-2023-0910,12,CRITICAL,9.8
888,CVE-2023-1491,12,MEDIUM,5.5
889,CVE-2023-1500,12,MEDIUM,6.1
890,CVE-2023-1517,12,MEDIUM,4.8
891,CVE-2022-23535,12,CRITICAL,9.8
892,CVE-2022-44580,12,HIGH,8.8
893,CVE-2023-1459,12,CRITICAL,9.8
894,CVE-2023-1310,12,CRITICAL,9.8
895,CVE-2023-1100,12,CRITICAL,9.8
896,CVE-2023-23040,12,HIGH,7.5
897,CVE-2023-1320,12,MEDIUM,6.1
898,CVE-2023-23313,12,MEDIUM,6.1
899,CVE-2023-1064,12,CRITICAL,9.8
900,CVE-2023-24485,12,HIGH,7.8
901,CVE-2023-1022,12,MEDIUM,4.3
902,CVE-2023-27582,12,CRITICAL,9.8
903,CVE-2023-1115,12,MEDIUM,5.4
904,CVE-2023-27896,12,HIGH,7.5
905,CVE-2022-45154,12,MEDIUM,5.5
906,CVE-2022-0637,12,MEDIUM,6.1
907,CVE-2022-48365,12,HIGH,7.2
908,CVE-2023-26462,12,CRITICAL,9.8
909,CVE-2022-44877,12,CRITICAL,9.8
910,CVE-2022-4492,12,HIGH,7.5
911,CVE-2021-46876,12,MEDIUM,5.3
912,CVE-2021-32302,12,MEDIUM,6.1
913,CVE-2022-43969,12,CRITICAL,9.1
914,CVE-2020-8958,12,HIGH,7.2
915,CVE-2023-27873,12,MEDIUM,6.5
916,CVE-2023-1474,11,CRITICAL,9.8
917,CVE-2023-1483,11,CRITICAL,9.8
918,CVE-2023-1486,11,HIGH,7.1
919,CVE-2022-38731,11,MEDIUM,4.3
920,CVE-2023-22681,11,MEDIUM,6.5
921,CVE-2023-1464,11,CRITICAL,9.8
922,CVE-2022-38734,11,HIGH,7.5
923,CVE-2022-45544,11,HIGH,8.8
924,CVE-2023-1484,11,CRITICAL,9.8
925,CVE-2022-34910,11,MEDIUM,5.5
926,CVE-2022-45608,11,HIGH,8.8
927,CVE-2023-1485,11,MEDIUM,6.1
928,CVE-2023-1466,11,CRITICAL,9.8
929,CVE-2023-1488,11,MEDIUM,5.5
930,CVE-2023-27103,11,HIGH,8.8
931,CVE-2023-1493,11,MEDIUM,5.5
932,CVE-2023-27224,11,CRITICAL,9.8
933,CVE-2023-1482,11,HIGH,8.8
934,CVE-2023-1507,11,MEDIUM,6.1
935,CVE-2023-1487,11,MEDIUM,5.5
936,CVE-2022-45003,11,HIGH,7.5
937,CVE-2023-22748,11,CRITICAL,9.8
938,CVE-2022-38456,11,HIGH,7.5
939,CVE-2021-40438,11,CRITICAL,9.0
940,CVE-2022-44875,11,MEDIUM,5.4
941,CVE-2023-23109,11,HIGH,7.5
942,CVE-2023-28617,11,HIGH,7.8
943,CVE-2022-38971,11,MEDIUM,5.4
944,CVE-2022-45137,11,MEDIUM,6.1
945,CVE-2023-24728,11,HIGH,8.8
946,CVE-2021-4329,11,CRITICAL,9.8
947,CVE-2022-34908,11,HIGH,7.5
948,CVE-2022-45155,11,MEDIUM,5.5
949,CVE-2023-27372,11,CRITICAL,9.8
950,CVE-2022-45454,11,HIGH,7.5
951,CVE-2023-28611,11,CRITICAL,9.8
952,CVE-2023-24808,11,MEDIUM,6.5
953,CVE-2022-38458,11,MEDIUM,5.9
954,CVE-2023-1378,11,CRITICAL,9.8
955,CVE-2023-23586,11,MEDIUM,5.5
956,CVE-2023-23926,11,HIGH,8.1
957,CVE-2023-23718,11,MEDIUM,4.8
958,CVE-2023-1368,11,CRITICAL,9.8
959,CVE-2023-1367,11,LOW,3.8
960,CVE-2023-23721,11,HIGH,8.8
961,CVE-2023-1363,11,MEDIUM,5.4
962,CVE-2023-28725,11,CRITICAL,9.1
963,CVE-2023-23857,11,HIGH,8.6
964,CVE-2023-1453,11,HIGH,7.1
965,CVE-2023-23920,11,MEDIUM,4.2
966,CVE-2021-27788,11,MEDIUM,6.1
967,CVE-2022-46892,11,CRITICAL,9.8
968,CVE-2023-1337,11,MEDIUM,4.3
969,CVE-2023-26922,11,CRITICAL,9.8
970,CVE-2023-27060,11,CRITICAL,9.8
971,CVE-2023-1448,11,HIGH,7.8
972,CVE-2023-23781,11,HIGH,8.8
973,CVE-2017-8291,11,HIGH,7.8
974,CVE-2023-1322,11,CRITICAL,9.8
975,CVE-2023-24377,11,HIGH,8.8
976,CVE-2022-45697,11,HIGH,7.8
977,CVE-2023-25762,11,MEDIUM,5.4
978,CVE-2022-4450,11,HIGH,7.5
979,CVE-2021-3854,11,CRITICAL,9.8
980,CVE-2022-45725,11,HIGH,8.8
981,CVE-2023-1321,11,CRITICAL,9.8
982,CVE-2023-23944,11,MEDIUM,6.5
983,CVE-2023-27117,11,HIGH,7.8
984,CVE-2022-45843,11,MEDIUM,5.4
985,CVE-2023-1450,11,MEDIUM,5.5
986,CVE-2023-1415,11,HIGH,8.8
987,CVE-2023-1449,11,HIGH,7.8
988,CVE-2023-23696,11,HIGH,7.8
989,CVE-2023-1398,11,HIGH,8.8
990,CVE-2023-27164,11,MEDIUM,4.8
991,CVE-2023-23108,11,HIGH,7.5
992,CVE-2023-1429,11,MEDIUM,5.4
993,CVE-2022-44742,11,MEDIUM,4.8
994,CVE-2023-24323,11,HIGH,8.8
995,CVE-2023-24388,11,MEDIUM,5.4
996,CVE-2023-21771,11,HIGH,7.0
997,CVE-2023-1416,11,CRITICAL,9.8
998,CVE-2023-22995,11,HIGH,7.8
999,CVE-2023-24643,11,CRITICAL,9.8
1000,CVE-2023-24344,11,HIGH,8.8
1001,CVE-2023-24346,11,HIGH,8.8
1002,CVE-2023-22419,11,HIGH,7.8
1003,CVE-2023-23698,11,HIGH,7.1
1004,CVE-2022-41620,11,HIGH,8.8
1005,CVE-2023-27979,11,HIGH,7.5
1006,CVE-2023-24352,11,CRITICAL,9.8
1007,CVE-2023-22432,11,MEDIUM,6.1
1008,CVE-2023-27895,11,MEDIUM,6.5
1009,CVE-2023-25693,11,CRITICAL,9.8
1010,CVE-2023-24219,11,CRITICAL,9.8
1011,CVE-2023-27637,11,CRITICAL,9.8
1012,CVE-2023-22481,11,MEDIUM,5.5
1013,CVE-2023-22974,11,HIGH,7.5
1014,CVE-2023-20651,11,MEDIUM,4.4
1015,CVE-2023-20643,11,MEDIUM,6.7
1016,CVE-2023-20621,11,MEDIUM,6.7
1017,CVE-2023-20635,11,MEDIUM,4.4
1018,CVE-2023-20089,11,MEDIUM,6.5
1019,CVE-2023-28424,11,CRITICAL,9.8
1020,CVE-2023-20620,11,MEDIUM,4.1
1021,CVE-2023-28095,11,HIGH,7.5
1022,CVE-2023-20085,11,MEDIUM,6.1
1023,CVE-2022-31254,11,HIGH,7.8
1024,CVE-2022-31405,11,MEDIUM,6.5
1025,CVE-2022-28491,11,CRITICAL,9.8
1026,CVE-2023-28335,11,HIGH,8.8
1027,CVE-2023-24381,11,MEDIUM,4.8
1028,CVE-2022-40699,11,MEDIUM,6.1
1029,CVE-2023-20646,11,MEDIUM,4.4
1030,CVE-2022-33225,11,HIGH,7.8
1031,CVE-2023-20050,11,HIGH,7.8
1032,CVE-2023-24572,11,LOW,3.3
1033,CVE-2023-21794,11,MEDIUM,4.3
1034,CVE-2015-10090,11,MEDIUM,6.1
1035,CVE-2023-24276,11,CRITICAL,9.8
1036,CVE-2023-24278,11,MEDIUM,6.1
1037,CVE-2023-24279,11,MEDIUM,6.1
1038,CVE-2023-21433,11,HIGH,7.8
1039,CVE-2023-28114,11,MEDIUM,4.1
1040,CVE-2023-21808,11,HIGH,7.8
1041,CVE-2023-28101,11,MEDIUM,4.3
1042,CVE-2023-24184,11,CRITICAL,9.8
1043,CVE-2023-20079,11,HIGH,7.5
1044,CVE-2022-32972,11,HIGH,7.8
1045,CVE-2023-1530,11,HIGH,8.8
1046,CVE-2023-28487,11,MEDIUM,5.3
1047,CVE-2023-22682,11,MEDIUM,6.1
1048,CVE-2023-24230,11,MEDIUM,4.8
1049,CVE-2023-24569,11,HIGH,7.8
1050,CVE-2022-43440,11,HIGH,7.8
1051,CVE-2022-43764,11,CRITICAL,9.8
1052,CVE-2022-30037,11,HIGH,7.2
1053,CVE-2023-24579,11,MEDIUM,5.5
1054,CVE-2023-22838,11,MEDIUM,5.4
1055,CVE-2022-43863,11,HIGH,7.2
1056,CVE-2023-22939,11,HIGH,8.8
1057,CVE-2023-22953,11,HIGH,8.8
1058,CVE-2023-28531,11,CRITICAL,9.8
1059,CVE-2023-24197,11,MEDIUM,6.1
1060,CVE-2023-24078,11,HIGH,8.8
1061,CVE-2022-43929,11,HIGH,7.5
1062,CVE-2023-1531,11,HIGH,8.8
1063,CVE-2023-1436,11,HIGH,7.5
1064,CVE-2023-24345,11,HIGH,8.8
1065,CVE-2022-22297,11,MEDIUM,5.5
1066,CVE-2023-27567,11,HIGH,7.5
1067,CVE-2023-28470,11,MEDIUM,5.3
1068,CVE-2023-1565,11,MEDIUM,5.4
1069,CVE-2023-27240,11,CRITICAL,9.8
1070,CVE-2023-27857,11,HIGH,7.5
1071,CVE-2022-42331,11,MEDIUM,5.5
1072,CVE-2022-42333,11,HIGH,8.6
1073,CVE-2023-20016,11,MEDIUM,6.5
1074,CVE-2022-46973,11,CRITICAL,9.8
1075,CVE-2023-27853,11,CRITICAL,9.8
1076,CVE-2023-20015,11,MEDIUM,6.7
1077,CVE-2023-20014,11,HIGH,7.5
1078,CVE-2023-27207,11,CRITICAL,9.8
1079,CVE-2023-1610,11,CRITICAL,9.8
1080,CVE-2023-0685,11,MEDIUM,4.3
1081,CVE-2023-27856,11,HIGH,7.5
1082,CVE-2023-1606,11,CRITICAL,9.8
1083,CVE-2023-24530,11,CRITICAL,9.1
1084,CVE-2022-42476,11,HIGH,8.2
1085,CVE-2023-22636,11,LOW,3.3
1086,CVE-2023-22643,11,HIGH,7.8
1087,CVE-2023-0320,11,MEDIUM,5.4
1088,CVE-2023-0869,11,MEDIUM,6.1
1089,CVE-2023-1613,11,MEDIUM,6.1
1090,CVE-2023-0943,11,HIGH,8.8
1091,CVE-2023-22678,11,HIGH,8.8
1092,CVE-2023-1068,11,MEDIUM,4.3
1093,CVE-2023-0085,11,MEDIUM,5.3
1094,CVE-2023-25402,11,HIGH,7.5
1095,CVE-2023-0089,11,HIGH,8.8
1096,CVE-2023-25403,11,HIGH,7.5
1097,CVE-2023-0090,11,CRITICAL,9.8
1098,CVE-2023-1114,11,CRITICAL,9.8
1099,CVE-2023-1106,11,MEDIUM,6.1
1100,CVE-2023-1104,11,MEDIUM,5.4
1101,CVE-2023-0216,11,HIGH,7.5
1102,CVE-2023-25558,11,HIGH,8.8
1103,CVE-2023-26359,11,CRITICAL,9.8
1104,CVE-2023-1127,11,HIGH,7.8
1105,CVE-2023-1065,11,MEDIUM,5.3
1106,CVE-2023-1573,11,MEDIUM,6.1
1107,CVE-2023-0507,11,MEDIUM,5.4
1108,CVE-2023-0808,11,MEDIUM,6.8
1109,CVE-2021-23980,11,MEDIUM,6.1
1110,CVE-2023-25173,11,HIGH,7.8
1111,CVE-2023-26075,11,CRITICAL,9.8
1112,CVE-2023-26073,11,CRITICAL,9.8
1113,CVE-2023-25395,11,CRITICAL,9.8
1114,CVE-2023-1205,11,HIGH,8.8
1115,CVE-2023-0578,11,MEDIUM,6.1
1116,CVE-2023-25191,11,HIGH,7.5
1117,CVE-2023-26484,11,HIGH,8.2
1118,CVE-2023-25192,11,MEDIUM,5.3
1119,CVE-2023-26510,11,MEDIUM,5.7
1120,CVE-2022-48344,11,MEDIUM,6.1
1121,CVE-2023-25206,11,HIGH,8.8
1122,CVE-2023-25223,11,HIGH,7.2
1123,CVE-2023-25230,11,MEDIUM,4.9
1124,CVE-2022-48422,11,HIGH,7.8
1125,CVE-2023-25360,11,CRITICAL,9.8
1126,CVE-2023-1572,11,MEDIUM,5.4
1127,CVE-2023-0615,11,MEDIUM,5.5
1128,CVE-2023-25578,11,HIGH,7.5
1129,CVE-2023-25687,11,MEDIUM,4.3
1130,CVE-2023-26235,11,MEDIUM,6.1
1131,CVE-2022-4862,11,HIGH,7.6
1132,CVE-2022-4903,11,CRITICAL,9.8
1133,CVE-2023-26511,11,CRITICAL,9.8
1134,CVE-2023-1162,11,HIGH,8.8
1135,CVE-2023-1152,11,CRITICAL,9.8
1136,CVE-2023-0027,11,MEDIUM,4.3
1137,CVE-2023-1148,11,MEDIUM,4.8
1138,CVE-2023-26490,11,HIGH,8.8
1139,CVE-2023-26487,11,MEDIUM,6.1
1140,CVE-2023-0681,11,MEDIUM,6.1
1141,CVE-2023-1037,11,CRITICAL,9.8
1142,CVE-2023-25266,11,HIGH,8.8
1143,CVE-2022-48367,11,CRITICAL,9.8
1144,CVE-2022-48366,11,LOW,3.7
