,CVE,num_of_author,baseSeverity,baseScore
132,CVE-2023-22920,25,CRITICAL,9.8
133,CVE-2023-24484,24,MEDIUM,5.5
134,CVE-2023-0585,24,MEDIUM,4.8
135,CVE-2023-1605,24,HIGH,7.5
136,CVE-2023-27522,24,HIGH,7.5
137,CVE-2022-45788,24,CRITICAL,9.8
138,CVE-2023-25575,24,MEDIUM,6.5
139,CVE-2022-24942,23,CRITICAL,9.8
140,CVE-2023-1389,23,HIGH,8.8
141,CVE-2022-24990,23,HIGH,7.5
142,CVE-2022-37337,23,HIGH,8.8
143,CVE-2023-23530,23,HIGH,8.6
144,CVE-2022-35737,23,HIGH,7.5
145,CVE-2023-22490,23,MEDIUM,5.5
146,CVE-2022-27672,23,MEDIUM,4.7
147,CVE-2021-40539,22,CRITICAL,9.8
148,CVE-2023-0656,22,HIGH,7.5
149,CVE-2021-46877,22,HIGH,7.5
150,CVE-2022-24122,22,HIGH,7.8
151,CVE-2015-2291,22,HIGH,7.8
152,CVE-2022-38452,22,HIGH,8.8
153,CVE-2023-1410,22,MEDIUM,4.8
154,CVE-2022-0337,22,MEDIUM,6.5
155,CVE-2022-39214,22,HIGH,7.5
156,CVE-2022-29056,21,MEDIUM,5.3
157,CVE-2022-25978,21,MEDIUM,6.1
158,CVE-2022-36429,21,HIGH,7.2
159,CVE-2023-27566,21,HIGH,7.8
160,CVE-2023-0748,21,MEDIUM,6.1
161,CVE-2023-27482,21,CRITICAL,10.0
162,CVE-2023-23916,21,HIGH,7.5
163,CVE-2023-23192,21,HIGH,7.2
164,CVE-2022-44267,20,MEDIUM,6.5
165,CVE-2023-26072,20,CRITICAL,9.8
166,CVE-2023-27588,20,HIGH,7.5
167,CVE-2023-1454,20,CRITICAL,9.8
168,CVE-2022-38108,20,HIGH,7.2
169,CVE-2023-26035,20,CRITICAL,9.8
170,CVE-2023-23392,20,CRITICAL,9.8
171,CVE-2022-4304,20,MEDIUM,5.9
172,CVE-2023-21838,20,HIGH,7.5
173,CVE-2008-10004,19,CRITICAL,9.8
174,CVE-2023-20052,19,MEDIUM,5.3
175,CVE-2016-15029,19,MEDIUM,6.1
176,CVE-2012-10009,19,CRITICAL,9.8
177,CVE-2017-0145,19,HIGH,8.1
178,CVE-2023-1118,19,HIGH,7.8
179,CVE-2023-0464,19,HIGH,7.5
180,CVE-2022-45124,19,HIGH,7.5
181,CVE-2022-2259,19,MEDIUM,4.3
182,CVE-2023-0941,19,HIGH,8.8
183,CVE-2023-26607,19,HIGH,7.1
184,CVE-2022-45635,19,HIGH,7.5
185,CVE-2023-1018,19,MEDIUM,5.5
186,CVE-2022-43663,19,CRITICAL,9.8
187,CVE-2021-36224,19,CRITICAL,9.8
188,CVE-2018-25048,19,HIGH,8.8
189,CVE-2015-10077,19,CRITICAL,9.8
190,CVE-2022-2258,19,MEDIUM,4.3
191,CVE-2023-23914,19,CRITICAL,9.1
192,CVE-2023-0918,18,CRITICAL,9.8
193,CVE-2022-4883,18,HIGH,8.8
194,CVE-2012-10007,18,MEDIUM,6.1
195,CVE-2013-10019,18,CRITICAL,9.8
196,CVE-2015-10082,18,CRITICAL,9.8
197,CVE-2023-25589,18,CRITICAL,9.8
198,CVE-2023-0386,18,HIGH,7.8
199,CVE-2023-25569,18,MEDIUM,5.7
200,CVE-2022-33213,18,HIGH,8.8
201,CVE-2023-0401,18,HIGH,7.5
202,CVE-2022-23791,18,MEDIUM,6.1
203,CVE-2013-10021,18,MEDIUM,6.1
204,CVE-2023-23286,18,MEDIUM,6.1
205,CVE-2022-47002,18,CRITICAL,9.8
206,CVE-2023-1283,18,CRITICAL,9.8
207,CVE-2023-27842,18,HIGH,8.8
208,CVE-2023-0957,18,CRITICAL,9.6
209,CVE-2023-26602,18,CRITICAL,9.8
210,CVE-2021-21548,18,HIGH,7.4
211,CVE-2022-23790,18,MEDIUM,6.1
212,CVE-2023-0696,18,HIGH,8.8
213,CVE-2015-10084,18,CRITICAL,9.8
214,CVE-2016-15024,18,MEDIUM,5.5
215,CVE-2022-45634,18,MEDIUM,4.3
216,CVE-2018-25082,18,CRITICAL,9.8
217,CVE-2016-15028,18,MEDIUM,5.9
218,CVE-2021-37491,17,HIGH,7.5
219,CVE-2022-33242,17,HIGH,7.8
220,CVE-2023-1067,17,MEDIUM,5.4
221,CVE-2022-38063,17,HIGH,8.8
222,CVE-2023-0494,17,HIGH,7.8
223,CVE-2022-21948,17,MEDIUM,6.1
224,CVE-2023-1545,17,HIGH,7.5
225,CVE-2022-37940,17,MEDIUM,6.1
226,CVE-2023-21707,17,HIGH,8.8
227,CVE-2023-25727,17,MEDIUM,5.4
228,CVE-2023-0258,17,MEDIUM,6.1
229,CVE-2012-10008,17,CRITICAL,9.8
230,CVE-2023-23912,17,HIGH,8.8
231,CVE-2023-0914,17,MEDIUM,5.3
232,CVE-2022-43512,17,MEDIUM,5.5
233,CVE-2023-1175,17,MEDIUM,6.6
234,CVE-2023-23531,17,HIGH,8.6
235,CVE-2022-45637,17,CRITICAL,9.8
236,CVE-2022-25937,17,MEDIUM,6.5
237,CVE-2020-29168,17,CRITICAL,9.8
238,CVE-2021-4195,17,MEDIUM,6.1
239,CVE-2015-10081,17,HIGH,8.8
240,CVE-2015-10086,17,CRITICAL,9.8
241,CVE-2022-32475,17,HIGH,7.0
242,CVE-2022-32477,17,HIGH,7.0
243,CVE-2023-0001,17,MEDIUM,6.7
244,CVE-2022-45701,17,HIGH,8.8
245,CVE-2018-7935,17,MEDIUM,5.3
246,CVE-2022-27891,17,MEDIUM,5.3
247,CVE-2022-45468,17,MEDIUM,5.5
248,CVE-2023-22747,17,CRITICAL,9.8
249,CVE-2021-32441,17,HIGH,7.5
250,CVE-2015-10076,17,CRITICAL,9.8
251,CVE-2021-35394,17,CRITICAL,9.8
252,CVE-2023-1407,17,HIGH,7.2
253,CVE-2022-27890,17,HIGH,7.4
254,CVE-2022-41091,17,MEDIUM,5.4
255,CVE-2021-36225,16,HIGH,8.8
256,CVE-2021-31578,16,CRITICAL,9.8
257,CVE-2023-1350,16,CRITICAL,9.8
258,CVE-2022-22564,16,MEDIUM,5.9
259,CVE-2023-0919,16,LOW,3.5
260,CVE-2022-45988,16,HIGH,7.8
261,CVE-2023-1153,16,CRITICAL,9.8
262,CVE-2021-36942,16,MEDIUM,5.3
263,CVE-2022-32953,16,HIGH,7.0
264,CVE-2023-1180,16,MEDIUM,6.1
265,CVE-2023-1528,16,HIGH,8.8
266,CVE-2023-0917,16,CRITICAL,9.8
267,CVE-2017-20179,16,CRITICAL,9.8
268,CVE-2023-1496,16,MEDIUM,5.4
269,CVE-2022-26080,16,MEDIUM,4.3
270,CVE-2023-0391,16,HIGH,8.1
271,CVE-2021-44196,16,MEDIUM,6.1
272,CVE-2022-45121,16,MEDIUM,5.5
273,CVE-2021-42761,16,CRITICAL,9.8
274,CVE-2022-2094,16,MEDIUM,6.1
275,CVE-2023-0814,16,MEDIUM,6.5
276,CVE-2023-1315,16,MEDIUM,5.4
277,CVE-2023-27530,16,HIGH,7.5
278,CVE-2022-27892,16,HIGH,7.5
279,CVE-2023-0783,16,CRITICAL,9.8
280,CVE-2015-10080,16,MEDIUM,6.1
281,CVE-2022-35405,16,CRITICAL,9.8
282,CVE-2021-45423,16,CRITICAL,9.8
283,CVE-2023-23918,16,HIGH,7.5
284,CVE-2020-27507,16,CRITICAL,9.8
285,CVE-2022-4203,16,MEDIUM,4.9
286,CVE-2023-27980,16,HIGH,8.8
287,CVE-2022-29557,16,HIGH,8.8
288,CVE-2021-40555,16,MEDIUM,5.4
289,CVE-2015-10097,16,CRITICAL,9.8
290,CVE-2023-1181,16,MEDIUM,5.4
291,CVE-2022-33679,16,HIGH,8.1
292,CVE-2023-23924,16,CRITICAL,9.8
293,CVE-2015-10083,16,CRITICAL,9.8
294,CVE-2023-25155,16,MEDIUM,6.5
295,CVE-2022-31474,16,HIGH,7.5
296,CVE-2017-20181,16,MEDIUM,5.5
297,CVE-2023-27986,16,HIGH,7.8
298,CVE-2015-10087,16,HIGH,8.8
299,CVE-2023-27984,16,HIGH,8.8
300,CVE-2020-36661,16,HIGH,7.5
301,CVE-2023-1357,15,CRITICAL,9.8
302,CVE-2021-33226,15,CRITICAL,9.8
303,CVE-2023-1365,15,HIGH,7.5
304,CVE-2023-1360,15,MEDIUM,4.9
305,CVE-2021-33304,15,CRITICAL,9.8
306,CVE-2021-31575,15,CRITICAL,9.8
307,CVE-2021-31574,15,CRITICAL,9.8
308,CVE-2022-28494,15,CRITICAL,9.8
309,CVE-2022-27897,15,HIGH,7.5
310,CVE-2015-10075,15,MEDIUM,6.1
311,CVE-2021-43074,15,MEDIUM,4.3
312,CVE-2023-1317,15,MEDIUM,5.4
313,CVE-2021-31577,15,CRITICAL,9.8
314,CVE-2021-36226,15,CRITICAL,9.8
315,CVE-2021-33925,15,CRITICAL,9.8
316,CVE-2015-10092,15,MEDIUM,6.1
317,CVE-2021-34117,15,HIGH,7.5
318,CVE-2011-10002,15,CRITICAL,9.8
319,CVE-2020-3992,15,CRITICAL,9.8
320,CVE-2023-26039,15,HIGH,8.8
321,CVE-2022-46169,15,CRITICAL,9.8
322,CVE-2023-27985,15,HIGH,7.8
323,CVE-2011-10003,15,CRITICAL,9.8
324,CVE-2015-10089,15,MEDIUM,6.1
325,CVE-2023-1463,15,MEDIUM,5.4
326,CVE-2015-10093,15,MEDIUM,5.4
327,CVE-2022-45552,15,HIGH,7.5
328,CVE-2023-24816,15,HIGH,7.0
329,CVE-2015-10096,15,CRITICAL,9.8
330,CVE-2023-1288,15,HIGH,7.5
