CVE,num_of_author,baseSeverity,baseScore
CVE-2022-41831,13,MEDIUM,5.4
CVE-2023-1366,13,HIGH,7.2
CVE-2021-32846,13,HIGH,7.8
CVE-2023-24206,13,CRITICAL,9.8
CVE-2023-1359,13,MEDIUM,4.8
CVE-2021-31985,13,HIGH,8.8
CVE-2021-31637,13,HIGH,7.8
CVE-2021-20251,13,MEDIUM,5.9
CVE-2021-31576,13,HIGH,7.5
CVE-2023-24201,13,CRITICAL,9.8
CVE-2023-1355,13,MEDIUM,5.5
CVE-2023-1354,13,MEDIUM,6.1
CVE-2023-1352,13,CRITICAL,9.8
CVE-2023-1349,13,MEDIUM,6.1
CVE-2023-1318,13,MEDIUM,5.4
CVE-2023-1316,13,MEDIUM,5.4
CVE-2023-1313,13,HIGH,8.8
CVE-2023-1311,13,CRITICAL,9.8
CVE-2023-1309,13,CRITICAL,9.8
CVE-2023-1307,13,CRITICAL,9.8
CVE-2021-33948,13,CRITICAL,9.8
CVE-2021-33949,13,CRITICAL,9.8
CVE-2022-0609,13,HIGH,8.8
CVE-2023-28152,13,CRITICAL,9.8
CVE-2022-25738,13,HIGH,7.5
CVE-2023-27981,13,HIGH,8.8
CVE-2023-27982,13,HIGH,8.8
CVE-2021-4332,13,MEDIUM,6.5
CVE-2021-4331,13,HIGH,8.8
CVE-2023-24731,13,HIGH,8.8
CVE-2023-24732,13,HIGH,8.8
CVE-2023-24348,13,CRITICAL,9.8
CVE-2021-45478,13,MEDIUM,6.5
CVE-2021-45479,13,MEDIUM,5.4
CVE-2023-1494,13,CRITICAL,9.8
CVE-2023-24343,13,HIGH,8.8
CVE-2022-25905,13,HIGH,7.3
CVE-2023-25758,13,MEDIUM,4.2
CVE-2023-20947,13,HIGH,7.8
CVE-2023-1490,13,MEDIUM,5.5
CVE-2023-24762,13,CRITICAL,9.8
CVE-2023-1480,13,CRITICAL,9.8
CVE-2023-1505,13,CRITICAL,9.8
CVE-2023-27202,13,CRITICAL,9.8
CVE-2022-25732,13,HIGH,7.5
CVE-2015-10088,13,CRITICAL,9.8
CVE-2022-25728,13,HIGH,7.5
CVE-2015-10079,13,MEDIUM,6.1
CVE-2023-24351,13,CRITICAL,9.8
CVE-2022-3089,13,CRITICAL,9.8
CVE-2023-1287,13,CRITICAL,9.8
CVE-2023-22344,13,CRITICAL,9.8
CVE-2022-40032,13,CRITICAL,9.8
CVE-2023-1541,13,LOW,3.8
CVE-2023-1540,13,MEDIUM,5.3
CVE-2023-22335,13,HIGH,7.5
CVE-2023-25153,13,MEDIUM,5.5
CVE-2023-1245,13,MEDIUM,5.4
CVE-2023-1247,13,,
CVE-2020-36660,13,MEDIUM,4.3
CVE-2023-1250,13,HIGH,7.8
CVE-2022-47664,13,HIGH,7.8
CVE-2023-1538,13,MEDIUM,5.3
CVE-2023-1270,13,MEDIUM,5.4
CVE-2022-39983,13,CRITICAL,9.8
CVE-2023-1269,13,CRITICAL,9.8
CVE-2020-21119,13,CRITICAL,9.8
CVE-2023-22438,13,MEDIUM,5.4
CVE-2023-1264,13,MEDIUM,5.5
CVE-2021-20038,13,CRITICAL,9.8
CVE-2023-20009,13,HIGH,7.2
CVE-2023-1539,13,MEDIUM,5.3
CVE-2022-32470,13,HIGH,7.0
CVE-2023-1537,13,CRITICAL,9.8
CVE-2020-1472,13,CRITICAL,10.0
CVE-2023-1239,13,MEDIUM,4.8
CVE-2023-1238,13,MEDIUM,5.4
CVE-2023-1536,13,MEDIUM,5.4
CVE-2023-26905,13,CRITICAL,9.8
CVE-2022-48322,13,CRITICAL,9.8
CVE-2023-25692,12,HIGH,7.5
CVE-2023-1503,12,CRITICAL,9.8
CVE-2023-1461,12,CRITICAL,9.8
CVE-2023-25689,12,MEDIUM,5.3
CVE-2023-0902,12,MEDIUM,5.4
CVE-2023-1504,12,CRITICAL,9.8
CVE-2023-1197,12,MEDIUM,4.8
CVE-2023-1591,12,CRITICAL,9.8
CVE-2023-0945,12,MEDIUM,5.4
CVE-2023-24729,12,HIGH,8.8
CVE-2023-24787,12,HIGH,8.8
CVE-2023-25156,12,CRITICAL,9.8
CVE-2023-24320,12,CRITICAL,9.8
CVE-2023-1459,12,CRITICAL,9.8
CVE-2023-1455,12,CRITICAL,9.8
CVE-2023-1168,12,HIGH,8.8
CVE-2023-1506,12,CRITICAL,9.8
CVE-2023-1251,12,CRITICAL,9.8
CVE-2023-1252,12,HIGH,7.8
CVE-2023-24349,12,CRITICAL,9.8
CVE-2023-1515,12,MEDIUM,5.4
CVE-2023-1447,12,MEDIUM,6.1
CVE-2023-0888,12,HIGH,7.2
CVE-2023-1446,12,MEDIUM,5.5
CVE-2023-1445,12,MEDIUM,5.5
CVE-2023-25657,12,CRITICAL,9.8
CVE-2023-1444,12,MEDIUM,6.5
CVE-2023-1460,12,CRITICAL,9.8
CVE-2023-1479,12,CRITICAL,9.8
CVE-2023-1497,12,CRITICAL,9.8
CVE-2023-24780,12,CRITICAL,9.8
CVE-2023-1562,12,MEDIUM,4.3
CVE-2023-23915,12,MEDIUM,6.5
CVE-2023-1612,12,CRITICAL,9.8
CVE-2023-1242,12,MEDIUM,5.4
CVE-2023-24730,12,HIGH,8.8
CVE-2023-0913,12,HIGH,8.8
CVE-2023-0912,12,HIGH,8.8
CVE-2023-24347,12,HIGH,8.8
CVE-2023-23697,12,LOW,3.3
CVE-2023-1179,12,MEDIUM,5.4
CVE-2023-1243,12,MEDIUM,4.8
CVE-2023-0930,12,HIGH,8.8
CVE-2023-1492,12,MEDIUM,5.5
CVE-2023-1500,12,MEDIUM,6.1
CVE-2023-0910,12,CRITICAL,9.8
CVE-2023-1502,12,CRITICAL,9.8
CVE-2023-1491,12,MEDIUM,5.5
CVE-2023-0936,12,MEDIUM,6.5
CVE-2023-1248,12,MEDIUM,6.1
CVE-2023-1443,12,HIGH,7.5
CVE-2023-25709,12,HIGH,8.8
CVE-2023-25708,12,HIGH,8.8
CVE-2023-1489,12,HIGH,7.8
CVE-2023-22629,12,HIGH,8.8
CVE-2023-24774,12,CRITICAL,9.8
CVE-2023-1590,12,CRITICAL,9.8
CVE-2023-1481,12,MEDIUM,6.1
CVE-2023-25696,12,CRITICAL,9.8
CVE-2023-0906,12,CRITICAL,9.8
CVE-2023-25536,12,MEDIUM,6.7
CVE-2023-1027,12,MEDIUM,4.3
CVE-2023-1442,12,HIGH,7.2
CVE-2023-1059,12,HIGH,8.8
CVE-2023-1351,12,CRITICAL,9.8
CVE-2023-1061,12,HIGH,8.8
CVE-2023-1353,12,MEDIUM,6.1
CVE-2023-1117,12,MEDIUM,5.4
CVE-2023-1532,12,HIGH,8.8
CVE-2023-1529,12,CRITICAL,9.8
CVE-2023-1058,12,HIGH,8.8
CVE-2023-24199,12,CRITICAL,9.8
CVE-2023-1057,12,HIGH,8.8
CVE-2023-1056,12,HIGH,8.8
CVE-2023-25362,12,CRITICAL,9.8
CVE-2023-1054,12,CRITICAL,9.8
CVE-2023-24202,12,CRITICAL,9.8
CVE-2023-25361,12,CRITICAL,9.8
CVE-2023-24200,12,CRITICAL,9.8
CVE-2023-1062,12,HIGH,8.8
CVE-2023-22336,12,CRITICAL,9.8
CVE-2023-24192,12,MEDIUM,6.1
CVE-2023-21822,12,HIGH,7.8
CVE-2023-1306,12,HIGH,8.8
CVE-2023-1308,12,CRITICAL,9.8
CVE-2023-1310,12,CRITICAL,9.8
CVE-2023-1100,12,CRITICAL,9.8
CVE-2023-24625,12,MEDIUM,6.5
CVE-2023-23040,12,HIGH,7.5
CVE-2023-1320,12,MEDIUM,6.1
CVE-2023-1115,12,MEDIUM,5.4
CVE-2023-23313,12,MEDIUM,6.1
CVE-2023-1064,12,CRITICAL,9.8
CVE-2023-24485,12,HIGH,7.8
CVE-2023-24198,12,CRITICAL,9.8
CVE-2023-1319,12,MEDIUM,4.8
CVE-2023-1053,12,CRITICAL,9.8
CVE-2023-24580,12,HIGH,7.5
CVE-2023-1441,12,CRITICAL,9.8
CVE-2023-21615,12,MEDIUM,5.4
CVE-2023-1036,12,MEDIUM,6.1
CVE-2023-22832,12,HIGH,7.5
CVE-2023-24657,12,MEDIUM,6.1
CVE-2023-24220,12,CRITICAL,9.8
CVE-2023-24221,12,CRITICAL,9.8
CVE-2023-21689,12,CRITICAL,9.8
CVE-2023-1439,12,CRITICAL,9.8
CVE-2023-1160,12,MEDIUM,5.5
CVE-2023-24575,12,HIGH,7.8
CVE-2023-1440,12,HIGH,8.8
CVE-2023-1026,12,MEDIUM,4.3
CVE-2023-25616,12,HIGH,8.8
CVE-2023-1023,12,MEDIUM,4.3
CVE-2023-1022,12,MEDIUM,4.3
CVE-2023-1038,12,CRITICAL,9.8
CVE-2023-1517,12,MEDIUM,4.8
CVE-2023-1361,12,MEDIUM,6.5
CVE-2023-1045,12,HIGH,8.1
CVE-2023-1362,12,MEDIUM,6.1
CVE-2023-1048,12,HIGH,7.8
CVE-2023-1130,12,CRITICAL,9.8
CVE-2023-1364,12,HIGH,7.5
CVE-2023-1237,12,MEDIUM,5.4
CVE-2023-20011,12,HIGH,8.8
CVE-2023-1044,12,HIGH,8.8
CVE-2023-24655,12,CRITICAL,9.8
CVE-2023-1043,12,MEDIUM,4.3
CVE-2023-1042,12,MEDIUM,6.1
CVE-2023-25573,12,HIGH,7.5
CVE-2023-1041,12,MEDIUM,6.1
CVE-2023-22883,12,HIGH,7.8
CVE-2023-1154,12,MEDIUM,6.1
CVE-2023-1047,12,HIGH,7.8
CVE-2023-0741,12,CRITICAL,9.0
CVE-2023-27855,12,CRITICAL,9.8
CVE-2023-27582,12,CRITICAL,9.8
CVE-2022-2504,12,CRITICAL,9.8
CVE-2023-26462,12,CRITICAL,9.8
CVE-2023-27873,12,MEDIUM,6.5
CVE-2022-23535,12,CRITICAL,9.8
CVE-2023-27641,12,MEDIUM,6.1
CVE-2022-4289,12,MEDIUM,4.3
CVE-2022-42948,12,CRITICAL,9.8
CVE-2023-27580,12,MEDIUM,5.9
CVE-2023-27896,12,HIGH,7.5
CVE-2023-27578,12,HIGH,7.5
CVE-2023-27570,12,CRITICAL,9.8
CVE-2023-0002,12,HIGH,7.8
CVE-2020-12413,12,MEDIUM,5.9
CVE-2023-27500,12,HIGH,8.1
CVE-2022-4927,12,MEDIUM,6.1
CVE-2022-2024,12,CRITICAL,9.8
CVE-2022-41862,12,LOW,3.7
CVE-2023-0568,12,HIGH,8.1
CVE-2022-28495,12,CRITICAL,9.8
CVE-2015-10091,12,HIGH,7.2
CVE-2023-0707,12,CRITICAL,9.8
CVE-2023-28154,12,CRITICAL,9.8
CVE-2023-28117,12,MEDIUM,6.5
CVE-2023-0699,12,HIGH,8.8
CVE-2023-28116,12,CRITICAL,9.8
CVE-2022-41076,12,HIGH,8.5
CVE-2022-27490,12,MEDIUM,6.5
CVE-2023-28100,12,CRITICAL,10.0
CVE-2023-26208,12,MEDIUM,5.3
CVE-2022-41554,12,MEDIUM,5.4
CVE-2023-26081,12,HIGH,7.5
CVE-2023-28083,12,MEDIUM,5.4
CVE-2023-26092,12,CRITICAL,9.8
CVE-2023-0590,12,MEDIUM,4.7
CVE-2023-0586,12,MEDIUM,5.4
CVE-2023-0577,12,MEDIUM,6.1
CVE-2022-43923,12,MEDIUM,5.5
CVE-2022-43927,12,HIGH,7.5
CVE-2023-27484,12,MEDIUM,4.9
CVE-2021-33224,12,CRITICAL,9.8
CVE-2023-27204,12,CRITICAL,9.8
CVE-2023-27203,12,CRITICAL,9.8
CVE-2020-2551,12,CRITICAL,9.8
CVE-2023-27100,12,CRITICAL,9.8
CVE-2022-46637,12,CRITICAL,9.8
CVE-2020-6817,12,HIGH,7.5
CVE-2022-47431,12,MEDIUM,6.1
CVE-2020-8958,12,HIGH,7.2
CVE-2023-26513,12,HIGH,7.5
CVE-2022-46752,12,MEDIUM,4.6
CVE-2021-32302,12,MEDIUM,6.1
CVE-2021-32142,12,HIGH,7.8
CVE-2021-3172,12,HIGH,8.1
CVE-2021-3099,12,,
CVE-2021-3091,12,,
CVE-2022-47154,12,HIGH,8.8
CVE-2020-21120,12,CRITICAL,9.8
CVE-2020-19825,12,CRITICAL,9.6
CVE-2020-19824,12,HIGH,7.0
CVE-2022-48111,12,MEDIUM,6.1
CVE-2022-43969,12,CRITICAL,9.1
CVE-2022-48425,12,HIGH,7.8
CVE-2022-48424,12,HIGH,7.8
CVE-2022-44580,12,HIGH,8.8
CVE-2022-0637,12,MEDIUM,6.1
CVE-2022-48365,12,HIGH,7.2
CVE-2022-48362,12,HIGH,8.8
CVE-2022-44877,12,CRITICAL,9.8
CVE-2022-4492,12,HIGH,7.5
CVE-2021-46876,12,MEDIUM,5.3
CVE-2021-45477,12,MEDIUM,6.5
CVE-2022-45154,12,MEDIUM,5.5
CVE-2023-27253,12,HIGH,8.8
CVE-2023-27242,12,MEDIUM,5.4
CVE-2023-27213,12,CRITICAL,9.8
CVE-2023-0722,12,MEDIUM,4.3
CVE-2021-26277,12,CRITICAL,9.8
CVE-2022-28497,12,CRITICAL,9.8
CVE-2023-25823,12,CRITICAL,9.8
CVE-2023-25968,12,HIGH,8.8
CVE-2023-28426,12,,
CVE-2022-39953,12,HIGH,7.8
CVE-2023-25795,12,MEDIUM,4.8
CVE-2023-25956,12,HIGH,7.5
CVE-2022-31706,12,CRITICAL,9.8
CVE-2023-28466,12,HIGH,7.0
CVE-2023-28686,12,HIGH,7.1
CVE-2023-0781,12,CRITICAL,9.8
CVE-2022-34148,12,MEDIUM,4.8
CVE-2023-0780,12,MEDIUM,5.4
CVE-2023-0841,12,HIGH,8.8
CVE-2023-0740,12,CRITICAL,9.0
CVE-2023-28606,12,MEDIUM,6.1
CVE-2022-39299,12,HIGH,8.1
CVE-2023-25814,12,MEDIUM,6.5
CVE-2023-0742,12,CRITICAL,9.0
CVE-2023-24777,11,CRITICAL,9.8
CVE-2022-38734,11,HIGH,7.5
CVE-2023-1482,11,HIGH,8.8
CVE-2023-1483,11,CRITICAL,9.8
CVE-2023-1474,11,CRITICAL,9.8
CVE-2022-38731,11,MEDIUM,4.3
CVE-2023-27240,11,CRITICAL,9.8
CVE-2023-1466,11,CRITICAL,9.8
CVE-2023-1486,11,HIGH,7.1
CVE-2022-34910,11,MEDIUM,5.5
CVE-2022-45608,11,HIGH,8.8
CVE-2017-8291,11,,
CVE-2023-27224,11,CRITICAL,9.8
CVE-2023-1485,11,MEDIUM,6.1
CVE-2023-1484,11,CRITICAL,9.8
CVE-2023-1493,11,MEDIUM,5.5
CVE-2023-1487,11,MEDIUM,5.5
CVE-2023-1488,11,MEDIUM,5.5
CVE-2023-28611,11,CRITICAL,9.8
CVE-2023-23108,11,HIGH,7.5
CVE-2022-44742,11,MEDIUM,4.8
CVE-2022-44875,11,MEDIUM,5.4
CVE-2023-23109,11,HIGH,7.5
CVE-2023-28617,11,HIGH,7.8
CVE-2023-1507,11,MEDIUM,6.1
CVE-2022-45003,11,HIGH,7.5
CVE-2022-38971,11,MEDIUM,5.4
CVE-2022-45137,11,MEDIUM,6.1
CVE-2023-24728,11,HIGH,8.8
CVE-2021-4329,11,CRITICAL,9.8
CVE-2022-34908,11,HIGH,7.5
CVE-2022-45155,11,MEDIUM,5.5
CVE-2023-27372,11,CRITICAL,9.8
CVE-2022-45454,11,HIGH,7.5
CVE-2023-1464,11,CRITICAL,9.8
CVE-2022-45544,11,HIGH,8.8
CVE-2021-40438,11,CRITICAL,9.0
CVE-2023-24808,11,MEDIUM,6.5
CVE-2022-38456,11,HIGH,7.5
CVE-2022-38458,11,MEDIUM,5.9
CVE-2023-23926,11,HIGH,8.1
CVE-2023-23718,11,MEDIUM,4.8
CVE-2023-1368,11,CRITICAL,9.8
CVE-2023-1367,11,LOW,3.8
CVE-2023-23721,11,HIGH,8.8
CVE-2023-1363,11,MEDIUM,5.4
CVE-2023-28725,11,CRITICAL,9.1
CVE-2023-26922,11,CRITICAL,9.8
CVE-2023-23781,11,HIGH,8.8
CVE-2022-37950,11,,
CVE-2022-37949,11,,
CVE-2023-27060,11,CRITICAL,9.8
CVE-2023-23857,11,HIGH,8.6
CVE-2022-37948,11,,
CVE-2021-29410,11,,
CVE-2023-23920,11,MEDIUM,4.2
CVE-2021-27788,11,MEDIUM,6.1
CVE-2022-46892,11,CRITICAL,9.8
CVE-2023-1337,11,MEDIUM,4.3
CVE-2023-1322,11,CRITICAL,9.8
CVE-2023-1321,11,CRITICAL,9.8
CVE-2023-1378,11,CRITICAL,9.8
CVE-2023-1398,11,HIGH,8.8
CVE-2023-23586,11,MEDIUM,5.5
CVE-2023-1453,11,HIGH,7.1
CVE-2022-45697,11,HIGH,7.8
CVE-2023-25762,11,MEDIUM,5.4
CVE-2022-4450,11,HIGH,7.5
CVE-2021-3854,11,CRITICAL,9.8
CVE-2022-45725,11,HIGH,8.8
CVE-2023-23944,11,MEDIUM,6.5
CVE-2023-27164,11,MEDIUM,4.8
CVE-2023-27117,11,HIGH,7.8
CVE-2022-45843,11,MEDIUM,5.4
CVE-2023-1450,11,MEDIUM,5.5
CVE-2023-1415,11,HIGH,8.8
CVE-2023-1449,11,HIGH,7.8
CVE-2023-23696,11,HIGH,7.8
CVE-2023-1448,11,HIGH,7.8
CVE-2023-27103,11,HIGH,8.8
CVE-2022-37951,11,,
CVE-2023-23698,11,HIGH,7.1
CVE-2023-1436,11,HIGH,7.5
CVE-2023-1429,11,MEDIUM,5.4
CVE-2023-1416,11,CRITICAL,9.8
CVE-2023-22995,11,HIGH,7.8
CVE-2023-24643,11,CRITICAL,9.8
CVE-2023-22974,11,HIGH,7.5
CVE-2023-20651,11,MEDIUM,4.4
CVE-2023-24344,11,HIGH,8.8
CVE-2023-24345,11,HIGH,8.8
CVE-2023-24346,11,HIGH,8.8
CVE-2023-22419,11,HIGH,7.8
CVE-2022-41620,11,HIGH,8.8
CVE-2023-27979,11,HIGH,7.5
CVE-2023-24352,11,CRITICAL,9.8
CVE-2023-22432,11,MEDIUM,6.1
CVE-2023-27895,11,MEDIUM,6.5
CVE-2023-24377,11,HIGH,8.8
CVE-2023-22481,11,MEDIUM,5.5
CVE-2023-24381,11,MEDIUM,4.8
CVE-2023-24388,11,MEDIUM,5.4
CVE-2023-20646,11,MEDIUM,4.4
CVE-2023-20643,11,MEDIUM,6.7
CVE-2023-20635,11,MEDIUM,4.4
CVE-2023-20621,11,MEDIUM,6.7
CVE-2023-20620,11,MEDIUM,4.1
CVE-2023-20089,11,MEDIUM,6.5
CVE-2023-20085,11,MEDIUM,6.1
CVE-2023-28424,11,CRITICAL,9.8
CVE-2023-28095,11,HIGH,7.5
CVE-2022-31405,11,MEDIUM,6.5
CVE-2022-31254,11,HIGH,7.8
CVE-2022-28491,11,CRITICAL,9.8
CVE-2022-40699,11,MEDIUM,6.1
CVE-2023-24219,11,CRITICAL,9.8
CVE-2023-28335,11,HIGH,8.8
CVE-2023-21771,11,HIGH,7.0
CVE-2023-28114,11,MEDIUM,4.1
CVE-2023-24230,11,MEDIUM,4.8
CVE-2023-21794,11,MEDIUM,4.3
CVE-2022-30037,11,HIGH,7.2
CVE-2018-3623,11,,
CVE-2015-10090,11,MEDIUM,6.1
CVE-2023-24276,11,CRITICAL,9.8
CVE-2023-24278,11,MEDIUM,6.1
CVE-2023-24279,11,MEDIUM,6.1
CVE-2023-21433,11,HIGH,7.8
CVE-2023-21808,11,HIGH,7.8
CVE-2023-28101,11,MEDIUM,4.3
CVE-2023-24323,11,HIGH,8.8
CVE-2023-24184,11,CRITICAL,9.8
CVE-2023-20079,11,HIGH,7.5
CVE-2022-32972,11,HIGH,7.8
CVE-2023-1530,11,HIGH,8.8
CVE-2023-28487,11,MEDIUM,5.3
CVE-2023-22682,11,MEDIUM,6.1
CVE-2022-43440,11,HIGH,7.8
CVE-2023-24569,11,HIGH,7.8
CVE-2023-28470,11,MEDIUM,5.3
CVE-2023-24572,11,LOW,3.3
CVE-2023-22748,11,CRITICAL,9.8
CVE-2023-27567,11,HIGH,7.5
CVE-2022-43764,11,CRITICAL,9.8
CVE-2023-24579,11,MEDIUM,5.5
CVE-2023-22838,11,MEDIUM,5.4
CVE-2023-20050,11,HIGH,7.8
CVE-2022-33225,11,HIGH,7.8
CVE-2022-43863,11,HIGH,7.2
CVE-2023-22939,11,HIGH,8.8
CVE-2023-22953,11,HIGH,8.8
CVE-2023-28531,11,CRITICAL,9.8
CVE-2023-24197,11,MEDIUM,6.1
CVE-2023-24078,11,HIGH,8.8
CVE-2022-43929,11,HIGH,7.5
CVE-2023-1531,11,HIGH,8.8
CVE-2022-22297,11,MEDIUM,5.5
CVE-2023-22681,11,MEDIUM,6.5
CVE-2023-1565,11,MEDIUM,5.4
CVE-2023-1572,11,MEDIUM,5.4
CVE-2023-27857,11,HIGH,7.5
CVE-2023-27856,11,HIGH,7.5
CVE-2023-20016,11,MEDIUM,6.5
CVE-2022-46973,11,CRITICAL,9.8
CVE-2023-27853,11,CRITICAL,9.8
CVE-2023-20015,11,MEDIUM,6.7
CVE-2023-20014,11,HIGH,7.5
CVE-2022-42331,11,MEDIUM,5.5
CVE-2022-42333,11,HIGH,8.6
CVE-2023-1613,11,MEDIUM,6.1
CVE-2023-1610,11,CRITICAL,9.8
CVE-2023-1606,11,CRITICAL,9.8
CVE-2023-24530,11,CRITICAL,9.1
CVE-2022-42476,11,HIGH,8.2
CVE-2023-22636,11,LOW,3.3
CVE-2023-22643,11,HIGH,7.8
CVE-2023-27637,11,CRITICAL,9.8
CVE-2023-22678,11,HIGH,8.8
CVE-2023-1573,11,MEDIUM,6.1
CVE-2023-0887,11,HIGH,7.8
CVE-2023-27207,11,CRITICAL,9.8
CVE-2021-23980,11,MEDIUM,6.1
CVE-2023-1068,11,MEDIUM,4.3
CVE-2023-0085,11,MEDIUM,5.3
CVE-2023-25402,11,HIGH,7.5
CVE-2023-0089,11,HIGH,8.8
CVE-2023-25403,11,HIGH,7.5
CVE-2023-0090,11,CRITICAL,9.8
CVE-2023-1114,11,CRITICAL,9.8
CVE-2023-1106,11,MEDIUM,6.1
CVE-2023-1104,11,MEDIUM,5.4
CVE-2023-0216,11,HIGH,7.5
CVE-2023-25558,11,HIGH,8.8
CVE-2023-26359,11,CRITICAL,9.8
CVE-2023-1127,11,HIGH,7.8
CVE-2023-1065,11,MEDIUM,5.3
CVE-2023-0320,11,MEDIUM,5.4
CVE-2023-0507,11,MEDIUM,5.4
CVE-2023-26235,11,MEDIUM,6.1
CVE-2023-26109,11,CRITICAL,9.8
CVE-2023-0578,11,MEDIUM,6.1
CVE-2023-0615,11,MEDIUM,5.5
CVE-2023-25578,11,HIGH,7.5
CVE-2023-26075,11,CRITICAL,9.8
CVE-2023-26073,11,CRITICAL,9.8
CVE-2023-25395,11,CRITICAL,9.8
CVE-2023-26484,11,HIGH,8.2
CVE-2023-1205,11,HIGH,8.8
CVE-2022-48422,11,HIGH,7.8
CVE-2023-25173,11,HIGH,7.8
CVE-2023-25191,11,HIGH,7.5
CVE-2023-25192,11,MEDIUM,5.3
CVE-2022-48344,11,MEDIUM,6.1
CVE-2023-25206,11,HIGH,8.8
CVE-2023-25223,11,HIGH,7.2
CVE-2023-25230,11,MEDIUM,4.9
CVE-2022-48366,11,LOW,3.7
CVE-2023-26550,11,CRITICAL,9.8
CVE-2022-48367,11,CRITICAL,9.8
CVE-2023-25266,11,HIGH,8.8
CVE-2023-25360,11,CRITICAL,9.8
CVE-2022-4862,11,HIGH,7.6
CVE-2022-4903,11,CRITICAL,9.8
CVE-2023-26511,11,CRITICAL,9.8
CVE-2023-1162,11,HIGH,8.8
CVE-2023-26510,11,MEDIUM,5.7
CVE-2023-1152,11,CRITICAL,9.8
CVE-2023-0027,11,MEDIUM,4.3
CVE-2023-1148,11,MEDIUM,4.8
CVE-2023-26490,11,HIGH,8.8
CVE-2023-26487,11,MEDIUM,6.1
CVE-2023-0681,11,MEDIUM,6.1
CVE-2023-1037,11,CRITICAL,9.8
CVE-2023-0685,11,MEDIUM,4.3
CVE-2023-0869,11,MEDIUM,6.1
CVE-2023-25693,11,CRITICAL,9.8
CVE-2023-0808,11,MEDIUM,6.8
CVE-2023-0943,11,HIGH,8.8
CVE-2023-0942,11,MEDIUM,6.1
CVE-2023-0830,11,HIGH,8.8
CVE-2023-0933,11,HIGH,8.8
CVE-2023-25819,11,MEDIUM,5.3
CVE-2023-0928,11,HIGH,8.8
CVE-2023-25812,11,HIGH,8.8
CVE-2023-0862,11,HIGH,8.8
CVE-2023-0875,11,HIGH,8.8
CVE-2023-25594,11,HIGH,8.8
CVE-2023-25794,11,MEDIUM,4.8
CVE-2023-0880,11,MEDIUM,4.3
CVE-2023-0908,11,HIGH,7.8
CVE-2023-0907,11,MEDIUM,5.5
CVE-2023-25782,11,MEDIUM,4.8
CVE-2023-25768,11,MEDIUM,6.5
CVE-2023-25767,11,HIGH,8.8
CVE-2023-25766,11,MEDIUM,4.3
CVE-2023-25765,11,CRITICAL,9.9
CVE-2023-25764,11,MEDIUM,5.4
CVE-2023-25691,11,CRITICAL,9.8
CVE-2023-0946,11,CRITICAL,9.8
CVE-2023-25687,11,MEDIUM,4.3
CVE-2023-0947,11,CRITICAL,9.8
CVE-2023-25595,11,MEDIUM,5.5
CVE-2023-25596,11,MEDIUM,4.9
CVE-2023-25605,11,HIGH,7.2
CVE-2023-26043,11,MEDIUM,6.5
CVE-2023-0697,11,MEDIUM,6.5
CVE-2023-0698,11,HIGH,8.8
CVE-2023-0705,11,HIGH,7.5
CVE-2023-0706,11,HIGH,8.8
CVE-2023-0725,11,MEDIUM,4.3
CVE-2023-0726,11,MEDIUM,4.3
CVE-2023-0739,11,MEDIUM,6.8
CVE-2023-1008,11,MEDIUM,5.5
CVE-2023-1007,11,HIGH,7.8
CVE-2023-1005,11,HIGH,7.8
CVE-2023-0997,11,HIGH,8.8
CVE-2023-0994,11,HIGH,7.5
CVE-2023-0987,11,MEDIUM,5.4
CVE-2023-0758,11,CRITICAL,9.8
CVE-2023-25928,11,MEDIUM,5.4
CVE-2023-0949,11,MEDIUM,4.8
CVE-2023-25684,11,CRITICAL,9.8
CVE-2022-48343,11,MEDIUM,6.1
CVE-2023-1213,11,HIGH,8.8
CVE-2022-47162,11,HIGH,8.8
CVE-2022-47155,11,HIGH,8.8
CVE-2023-26608,11,MEDIUM,5.4
CVE-2023-26609,11,HIGH,7.2
CVE-2022-48329,11,CRITICAL,9.8
CVE-2022-47665,11,HIGH,7.8
CVE-2023-1253,11,CRITICAL,9.8
CVE-2023-25064,11,MEDIUM,4.8
CVE-2020-19947,11,CRITICAL,9.6
CVE-2022-48323,11,CRITICAL,9.8
CVE-2023-26806,11,CRITICAL,9.8
CVE-2022-47427,11,HIGH,8.8
CVE-2023-26784,11,CRITICAL,9.8
CVE-2022-47440,11,HIGH,8.8
CVE-2023-25065,11,HIGH,8.8
CVE-2022-47166,11,HIGH,8.8
CVE-2020-1938,11,CRITICAL,9.8
CVE-2023-25077,11,MEDIUM,5.4
CVE-2022-48149,11,CRITICAL,9.8
CVE-2023-25069,11,HIGH,8.8
CVE-2021-23185,11,,
CVE-2022-48254,11,MEDIUM,4.6
CVE-2023-1276,11,HIGH,7.2
CVE-2022-48019,11,HIGH,7.8
CVE-2022-47595,11,MEDIUM,6.5
CVE-2023-1305,11,HIGH,8.1
CVE-2023-1212,11,MEDIUM,4.8
CVE-2022-47171,11,MEDIUM,4.8
CVE-2020-36691,11,MEDIUM,5.5
CVE-2023-1262,11,MEDIUM,5.3
CVE-2021-23199,11,,
CVE-2023-0951,10,HIGH,8.8
CVE-2023-1301,10,CRITICAL,9.8
CVE-2023-22743,10,HIGH,7.3
CVE-2023-22421,10,HIGH,7.8
CVE-2023-0776,10,CRITICAL,10.0
