CVE,num_of_author,baseSeverity,baseScore
CVE-2023-25575,24,MEDIUM,6.5
CVE-2023-1389,23,HIGH,8.8
CVE-2022-24990,23,HIGH,7.5
CVE-2023-23530,23,HIGH,8.6
CVE-2022-24942,23,CRITICAL,9.8
CVE-2022-27672,23,MEDIUM,4.7
CVE-2023-22490,23,MEDIUM,5.5
CVE-2022-35737,23,HIGH,7.5
CVE-2022-37337,23,HIGH,8.8
CVE-2014-12508,22,,
CVE-2022-0337,22,MEDIUM,6.5
CVE-2022-39214,22,HIGH,7.5
CVE-2023-1410,22,MEDIUM,4.8
CVE-2022-38452,22,HIGH,8.8
CVE-2023-0656,22,HIGH,7.5
CVE-2015-2291,22,,
CVE-2022-24122,22,HIGH,7.8
CVE-2021-40539,22,CRITICAL,9.8
CVE-2021-46877,22,HIGH,7.5
CVE-2023-23916,21,HIGH,7.5
CVE-2023-23192,21,HIGH,7.2
CVE-2023-27482,21,CRITICAL,10.0
CVE-2022-29056,21,MEDIUM,5.3
CVE-2023-27566,21,HIGH,7.8
CVE-2022-36429,21,HIGH,7.2
CVE-2023-0748,21,MEDIUM,6.1
CVE-2022-25978,21,MEDIUM,6.1
CVE-2023-27588,20,HIGH,7.5
CVE-2023-1454,20,CRITICAL,9.8
CVE-2022-44267,20,MEDIUM,6.5
CVE-2022-4304,20,MEDIUM,5.9
CVE-2022-38108,20,HIGH,7.2
CVE-2023-21838,20,HIGH,7.5
CVE-2023-26072,20,CRITICAL,9.8
CVE-2023-23392,20,CRITICAL,9.8
CVE-2023-26035,20,CRITICAL,9.8
CVE-2023-26463,20,,
CVE-2017-0145,19,,
CVE-2008-10004,19,CRITICAL,9.8
CVE-2016-15029,19,MEDIUM,6.1
CVE-2023-1118,19,HIGH,7.8
CVE-2023-0464,19,HIGH,7.5
CVE-2022-45124,19,HIGH,7.5
CVE-2023-20052,19,MEDIUM,5.3
CVE-2012-10009,19,CRITICAL,9.8
CVE-2022-2259,19,MEDIUM,4.3
CVE-2022-2258,19,MEDIUM,4.3
CVE-2023-26607,19,HIGH,7.1
CVE-2018-25048,19,HIGH,8.8
CVE-2023-23914,19,CRITICAL,9.1
CVE-2022-45635,19,HIGH,7.5
CVE-2023-1018,19,MEDIUM,5.5
CVE-2023-2575,19,,
CVE-2022-43663,19,CRITICAL,9.8
CVE-2015-10077,19,CRITICAL,9.8
CVE-2021-36224,19,CRITICAL,9.8
CVE-2023-0941,19,HIGH,8.8
CVE-2023-0401,18,HIGH,7.5
CVE-2012-10007,18,MEDIUM,6.1
CVE-2015-10082,18,CRITICAL,9.8
CVE-2022-4883,18,HIGH,8.8
CVE-2023-0918,18,CRITICAL,9.8
CVE-2023-25569,18,MEDIUM,5.7
CVE-2022-33213,18,HIGH,8.8
CVE-2023-25589,18,CRITICAL,9.8
CVE-2023-0386,18,HIGH,7.8
CVE-2023-23286,18,MEDIUM,6.1
CVE-2013-10019,18,CRITICAL,9.8
CVE-2013-10021,18,MEDIUM,6.1
CVE-2016-15028,18,MEDIUM,5.9
CVE-2022-47002,18,CRITICAL,9.8
CVE-2022-23790,18,MEDIUM,6.1
CVE-2016-15024,18,MEDIUM,5.5
CVE-2023-1283,18,CRITICAL,9.8
CVE-2022-23791,18,MEDIUM,6.1
CVE-2023-0957,18,CRITICAL,9.6
CVE-2021-21548,18,HIGH,7.4
CVE-2022-45634,18,MEDIUM,4.3
CVE-2018-25082,18,CRITICAL,9.8
CVE-2015-10084,18,CRITICAL,9.8
CVE-2023-26602,18,CRITICAL,9.8
CVE-2023-27842,18,HIGH,8.8
CVE-2023-0696,18,HIGH,8.8
CVE-2023-0494,17,HIGH,7.8
CVE-2022-21948,17,MEDIUM,6.1
CVE-2023-23531,17,HIGH,8.6
CVE-2022-37940,17,MEDIUM,6.1
CVE-2023-1545,17,HIGH,7.5
CVE-2023-25727,17,MEDIUM,5.4
CVE-2023-1067,17,MEDIUM,5.4
CVE-2023-0258,17,MEDIUM,6.1
CVE-2022-38063,17,HIGH,8.8
CVE-2012-10008,17,CRITICAL,9.8
CVE-2023-23912,17,HIGH,8.8
CVE-2023-0914,17,MEDIUM,5.3
CVE-2022-43512,17,MEDIUM,5.5
CVE-2023-21707,17,HIGH,8.8
CVE-2022-33242,17,HIGH,7.8
CVE-2023-1175,17,MEDIUM,6.6
CVE-2021-37491,17,HIGH,7.5
CVE-2022-45637,17,CRITICAL,9.8
CVE-2023-0001,17,MEDIUM,6.7
CVE-2020-29168,17,CRITICAL,9.8
CVE-2015-10086,17,CRITICAL,9.8
CVE-2022-32475,17,HIGH,7.0
CVE-2022-32477,17,HIGH,7.0
CVE-2022-25937,17,MEDIUM,6.5
CVE-2022-45468,17,MEDIUM,5.5
CVE-2018-7935,17,MEDIUM,5.3
CVE-2021-4195,17,MEDIUM,6.1
CVE-2015-10081,17,HIGH,8.8
CVE-2022-45701,17,HIGH,8.8
CVE-2022-27891,17,MEDIUM,5.3
CVE-2023-22747,17,CRITICAL,9.8
CVE-2021-32441,17,HIGH,7.5
CVE-2015-10076,17,CRITICAL,9.8
CVE-2021-35394,17,CRITICAL,9.8
CVE-2022-41091,17,MEDIUM,5.4
CVE-2023-1407,17,HIGH,7.2
CVE-2022-27890,17,HIGH,7.4
CVE-2023-0814,16,MEDIUM,6.5
CVE-2021-31578,16,CRITICAL,9.8
CVE-2023-0917,16,CRITICAL,9.8
CVE-2022-22564,16,MEDIUM,5.9
CVE-2021-36225,16,HIGH,8.8
CVE-2022-45988,16,HIGH,7.8
CVE-2023-0919,16,LOW,3.5
CVE-2021-36942,16,MEDIUM,5.3
CVE-2020-36661,16,HIGH,7.5
CVE-2023-1350,16,CRITICAL,9.8
CVE-2023-1496,16,MEDIUM,5.4
CVE-2023-1153,16,CRITICAL,9.8
CVE-2023-1528,16,HIGH,8.8
CVE-2017-20179,16,CRITICAL,9.8
CVE-2017-20181,16,MEDIUM,5.5
CVE-2023-0391,16,HIGH,8.1
CVE-2021-44196,16,MEDIUM,6.1
CVE-2022-45121,16,MEDIUM,5.5
CVE-2021-42761,16,CRITICAL,9.8
CVE-2022-2094,16,MEDIUM,6.1
CVE-2023-1180,16,MEDIUM,6.1
