,mean,std,params
56,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.001}"
55,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.0001}"
54,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1000}"
80,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 0.03}"
120,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 1000}"
91,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.03}"
74,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 10}"
75,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 100}"
76,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 1000}"
71,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 0.3}"
119,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 100}"
93,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.3}"
70,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 0.1}"
73,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 3}"
82,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 0.3}"
84,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 3}"
85,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 10}"
86,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 100}"
87,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 1000}"
104,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 0.3}"
90,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 0.01}"
83,0.6272436369820305,0.004046026651939092,"{'C': 3, 'gamma': 1}"
72,0.6272436369820305,0.004046026651939092,"{'C': 1, 'gamma': 1}"
106,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 3}"
115,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 0.3}"
118,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 10}"
94,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 1}"
117,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 3}"
95,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 3}"
96,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 10}"
97,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 100}"
98,0.6272436369820305,0.004046026651939092,"{'C': 10, 'gamma': 1000}"
105,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 1}"
107,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 10}"
108,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 100}"
109,0.6272436369820305,0.004046026651939092,"{'C': 100, 'gamma': 1000}"
116,0.6272436369820305,0.004046026651939092,"{'C': 1000, 'gamma': 1}"
77,0.6271591633333131,0.003660467963367154,"{'C': 3, 'gamma': 0.0001}"
88,0.6271517952224966,0.004348521698680953,"{'C': 10, 'gamma': 0.0001}"
112,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.01}"
114,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.1}"
113,0.6269268082169258,0.0037358481699270927,"{'C': 1000, 'gamma': 0.03}"
81,0.6269268082169258,0.0037358481699270927,"{'C': 3, 'gamma': 0.1}"
101,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.01}"
102,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.03}"
92,0.6269268082169258,0.0037358481699270927,"{'C': 10, 'gamma': 0.1}"
103,0.6269268082169258,0.0037358481699270927,"{'C': 100, 'gamma': 0.1}"
78,0.6269249349684131,0.004167030287442513,"{'C': 3, 'gamma': 0.001}"
89,0.6269249349684131,0.004167030287442513,"{'C': 10, 'gamma': 0.001}"
111,0.6266081062033086,0.003840367608209915,"{'C': 1000, 'gamma': 0.001}"
